MES/AÑO,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ENERO,"13,11","15,80","16,54","19,36","22,84","23,12","28,94","22,00","28,77","31,35","33,30","33,57","34,41","21,27","20,05","24,36","25,43","22,66","25,24","23,26","30,99","34,62","31,12"
FEBRERO,"12,76","16,74","17,75","18,84","22,54","22,12","28,84","21,86","28,28","32,07","35,34","35,44","33,61","22,98","19,05","23,54","25,34","23,50","24,18","24,94","33,52","34,46","32,35"
MARZO,"13,24","17,93","18,39","20,01","22,39","23,51","30,28","21,48","30,05","34,73","37,12","35,29","33,97","24,69","20,76","23,07","25,39","25,46","23,11","27,08","38,71","33,88","34,47"
ABRIL,"14,76","16,97","18,83","22,23","24,86","25,88","31,92","22,21","31,05","35,63","37,45","34,24","34,80","25,25","21,96","23,82","26,71","27,44","18,30","27,36","38,32","35,83","35,68"
MAYO,"14,74","16,05","19,09","22,77","27,21","27,87","33,37","23,40","30,08","35,46","35,61","34,34","34,40","26,55","22,78","23,19","27,93","27,48","18,22","28,28","41,69","34,36","33,83"
JUNIO,"14,54","15,18","19,41","22,57","26,95","28,90","35,81","26,12","28,34","34,71","34,70","33,94","35,02","26,89","24,31","22,90","27,55","26,07","20,48","28,21","40,74","33,85",
JULIO,"15,13","15,14","19,41","22,63","26,79","28,64","36,72","26,89","28,08","35,21","35,57","35,43","35,25","26,77","22,19","22,76","27,49","26,71","21,93","28,92","35,69","34,80",
AGOSTO,"15,90","15,68","19,23","23,16","28,37","27,91","35,98","27,05","28,54","34,95","35,47","36,03","34,51","24,82","22,02","23,31","27,56","25,64","21,66","29,42","35,28","37,81",
SEPTIEMBRE,"15,82","17,19","19,01","25,68","27,49","27,22","35,13","27,12","27,73","34,74","37,58","35,67","32,76","22,84","22,69","24,87","27,80","25,50","21,54","29,63","34,69","37,59",
OCTUBRE,"16,24","16,90","19,69","27,31","24,94","27,54","31,61","26,48","29,36","34,13","36,20","33,80","30,85","22,49","23,05","24,06","28,09","25,21","21,58","30,49","36,92","36,00",
NOVIEMBRE,"16,35","16,60","20,57","26,01","23,37","28,56","26,61","28,34","29,28","34,56","33,67","32,68","28,98","21,58","22,34","24,93","25,36","25,16","20,60","30,95","36,80","31,43",
DICIEMBRE,"16,03","16,14","20,21","23,33","23,41","29,17","22,90","27,83","30,25","33,18","33,71","34,78","25,41","20,93","23,21","24,70","23,42","25,03","22,10","29,26","34,10","29,98",
Promedio,"14,88","16,36","19,01","22,83","25,10","26,70","31,51","25,06","29,15","34,23","35,48","34,60","32,83","23,92","22,03","23,79","26,50","25,49","21,58","28,15","36,45","34,55","33,49"
